orcamento,max_iter,seed,erro,iteracoes,status
10.0,100,0,0.0,28,OTIMA
10.0,100,1,0.0,13,OTIMA
10.0,100,2,0.0,49,OTIMA
10.0,100,3,0.2,100,APROXIMADA
10.0,100,4,0.0,66,OTIMA
10.0,100,5,0.0,55,OTIMA
10.0,100,6,0.0,73,OTIMA
10.0,100,7,0.0,27,OTIMA
10.0,100,8,0.0,34,OTIMA
10.0,100,9,0.0,58,OTIMA
10.0,1000,0,0.0,28,OTIMA
10.0,1000,1,0.0,13,OTIMA
10.0,1000,2,0.0,49,OTIMA
10.0,1000,3,0.0,153,OTIMA
10.0,1000,4,0.0,66,OTIMA
10.0,1000,5,0.0,55,OTIMA
10.0,1000,6,0.0,73,OTIMA
10.0,1000,7,0.0,27,OTIMA
10.0,1000,8,0.0,34,OTIMA
10.0,1000,9,0.0,58,OTIMA
10.0,10000,0,0.0,28,OTIMA
10.0,10000,1,0.0,13,OTIMA
10.0,10000,2,0.0,49,OTIMA
10.0,10000,3,0.0,153,OTIMA
10.0,10000,4,0.0,66,OTIMA
10.0,10000,5,0.0,55,OTIMA
10.0,10000,6,0.0,73,OTIMA
10.0,10000,7,0.0,27,OTIMA
10.0,10000,8,0.0,34,OTIMA
10.0,10000,9,0.0,58,OTIMA
15.0,100,0,0.0,59,OTIMA
15.0,100,1,0.0,13,OTIMA
15.0,100,2,0.0,32,OTIMA
15.0,100,3,0.0,31,OTIMA
15.0,100,4,0.0,19,OTIMA
15.0,100,5,0.0,62,OTIMA
15.0,100,6,0.0,71,OTIMA
15.0,100,7,0.0,52,OTIMA
15.0,100,8,0.0,34,OTIMA
15.0,100,9,0.0,58,OTIMA
15.0,1000,0,0.0,59,OTIMA
15.0,1000,1,0.0,13,OTIMA
15.0,1000,2,0.0,32,OTIMA
15.0,1000,3,0.0,31,OTIMA
15.0,1000,4,0.0,19,OTIMA
15.0,1000,5,0.0,62,OTIMA
15.0,1000,6,0.0,71,OTIMA
15.0,1000,7,0.0,52,OTIMA
15.0,1000,8,0.0,34,OTIMA
15.0,1000,9,0.0,58,OTIMA
15.0,10000,0,0.0,59,OTIMA
15.0,10000,1,0.0,13,OTIMA
15.0,10000,2,0.0,32,OTIMA
15.0,10000,3,0.0,31,OTIMA
15.0,10000,4,0.0,19,OTIMA
15.0,10000,5,0.0,62,OTIMA
15.0,10000,6,0.0,71,OTIMA
15.0,10000,7,0.0,52,OTIMA
15.0,10000,8,0.0,34,OTIMA
15.0,10000,9,0.0,58,OTIMA
20.0,100,0,0.0,51,OTIMA
20.0,100,1,0.05,100,APROXIMADA
20.0,100,2,0.0,37,OTIMA
20.0,100,3,0.0,42,OTIMA
20.0,100,4,0.0,32,OTIMA
20.0,100,5,0.0,54,OTIMA
20.0,100,6,0.05,100,APROXIMADA
20.0,100,7,0.0,60,OTIMA
20.0,100,8,0.0,85,OTIMA
